date,product,quantity,price,promotion,weekend,sales,day,month,year,day_of_week
2025-02-18,Mobile,19,25000,0,0,480743.83,18,2,2025,1
2025-02-19,Tablet,8,18000,0,0,135301.43,19,2,2025,2
2025-02-20,Tablet,16,18000,0,0,286187.8,20,2,2025,3
2025-02-21,Tablet,13,18000,0,0,228401.65,21,2,2025,4
2025-02-22,Tablet,1,18000,1,1,15126.59,22,2,2025,5
2025-02-23,Smartwatch,17,5000,1,1,107804.13,23,2,2025,6
2025-02-24,Headphones,7,3000,0,0,18661.49,24,2,2025,0
2025-02-25,Laptop,13,55000,0,0,716732.52,25,2,2025,1
2025-02-26,Tablet,4,18000,0,0,71765.4,26,2,2025,2
2025-02-27,Mobile,4,25000,0,0,102385.2,27,2,2025,3
2025-02-28,Tablet,6,18000,0,0,108384.11,28,2,2025,4
2025-03-01,Mobile,19,25000,0,1,468585.04,1,3,2025,5
2025-03-02,Mobile,12,25000,1,1,364981.33,2,3,2025,6
2025-03-03,Tablet,7,18000,0,0,123531.22,3,3,2025,0
2025-03-04,Smartwatch,10,5000,0,0,42217.09,4,3,2025,1
2025-03-05,Mobile,19,25000,0,0,472859.42,5,3,2025,2
2025-03-06,Mobile,7,25000,0,0,182503.8,6,3,2025,3
2025-03-07,Tablet,3,18000,0,0,58251.11,7,3,2025,4
2025-03-08,Mobile,13,25000,0,1,323256.74,8,3,2025,5
2025-03-09,Mobile,13,25000,0,1,323253.71,9,3,2025,6
2025-03-10,Tablet,18,18000,1,0,387191.82,10,3,2025,0
2025-03-11,Tablet,8,18000,0,0,154383.74,11,3,2025,1
2025-03-12,Laptop,9,55000,0,0,496909.68,12,3,2025,2
2025-03-13,Smartwatch,7,5000,0,0,37150.21,13,3,2025,3
2025-03-14,Smartwatch,1,5000,0,0,10151.42,14,3,2025,4
2025-03-15,Mobile,3,25000,0,1,76193.95,15,3,2025,5
2025-03-16,Smartwatch,13,5000,1,1,76704.79,16,3,2025,6
2025-03-17,Mobile,17,25000,1,0,509018.25,17,3,2025,0
2025-03-18,Laptop,1,55000,1,0,65641.99,18,3,2025,1
2025-03-19,Tablet,6,18000,0,0,107813.89,19,3,2025,2
2025-03-20,Tablet,6,18000,0,0,111638.15,20,3,2025,3
2025-03-21,Tablet,12,18000,0,0,216259.73,21,3,2025,4
2025-03-22,Smartwatch,13,5000,0,1,68663.2,22,3,2025,5
2025-03-23,Laptop,13,55000,1,1,857596.42,23,3,2025,6
2025-03-24,Smartwatch,15,5000,0,0,75393.18,24,3,2025,0
2025-03-25,Smartwatch,16,5000,0,0,70009.0,25,3,2025,1
2025-03-26,Laptop,11,55000,0,0,609581.64,26,3,2025,2
2025-03-27,Laptop,5,55000,0,0,276732.44,27,3,2025,3
2025-03-28,Laptop,4,55000,0,0,224990.05,28,3,2025,4
2025-03-29,Laptop,3,55000,0,1,150518.72,29,3,2025,5
2025-03-30,Tablet,19,18000,0,1,352441.87,30,3,2025,6
2025-03-31,Headphones,18,3000,1,0,64102.05,31,3,2025,0
2025-04-01,Headphones,15,3000,1,0,59540.91,1,4,2025,1
2025-04-02,Laptop,9,55000,0,0,489800.47,2,4,2025,2
2025-04-03,Headphones,17,3000,0,0,54063.87,3,4,2025,3
2025-04-04,Headphones,14,3000,0,0,36732.92,4,4,2025,4
2025-04-05,Laptop,15,55000,0,1,821881.16,5,4,2025,5
2025-04-06,Headphones,1,3000,0,1,12570.16,6,4,2025,6
2025-04-07,Smartwatch,3,5000,0,0,14046.59,7,4,2025,0
2025-04-08,Mobile,16,25000,0,0,401087.16,8,4,2025,1
2025-04-09,Mobile,11,25000,0,0,279350.34,9,4,2025,2
2025-04-10,Laptop,12,55000,0,0,662478.41,10,4,2025,3
2025-04-11,Tablet,10,18000,0,0,180752.09,11,4,2025,4
2025-04-12,Laptop,16,55000,1,1,1057824.81,12,4,2025,5
2025-04-13,Tablet,8,18000,1,1,184817.08,13,4,2025,6
2025-04-14,Mobile,6,25000,0,0,149711.91,14,4,2025,0
2025-04-15,Laptop,12,55000,1,0,793005.5,15,4,2025,1
2025-04-16,Smartwatch,8,5000,0,0,45253.27,16,4,2025,2
2025-04-17,Headphones,4,3000,1,0,19927.63,17,4,2025,3
2025-04-18,Tablet,8,18000,1,0,178735.15,18,4,2025,4
2025-04-19,Headphones,18,3000,0,1,57193.65,19,4,2025,5
2025-04-20,Headphones,5,3000,0,1,9284.98,20,4,2025,6
2025-04-21,Laptop,9,55000,0,0,503167.16,21,4,2025,0
2025-04-22,Headphones,4,3000,0,0,6268.27,22,4,2025,1
2025-04-23,Smartwatch,17,5000,0,0,86513.18,23,4,2025,2
2025-04-24,Headphones,9,3000,0,0,23228.62,24,4,2025,3
2025-04-25,Laptop,1,55000,0,0,54679.31,25,4,2025,4
2025-04-26,Smartwatch,13,5000,1,1,79643.81,26,4,2025,5
2025-04-27,Mobile,16,25000,1,1,481606.79,27,4,2025,6
2025-04-28,Headphones,13,3000,0,0,41109.6,28,4,2025,0
2025-04-29,Laptop,14,55000,0,0,778068.56,29,4,2025,1
2025-04-30,Mobile,3,25000,0,0,77267.67,30,4,2025,2
2025-05-01,Mobile,6,25000,0,0,148779.22,1,5,2025,3
2025-05-02,Tablet,18,18000,1,0,393620.44,2,5,2025,4
2025-05-03,Smartwatch,19,5000,0,1,100947.35,3,5,2025,5
2025-05-04,Headphones,5,3000,0,1,8861.96,4,5,2025,6
2025-05-05,Laptop,15,55000,0,0,827987.0,5,5,2025,0
2025-05-06,Tablet,2,18000,0,0,39505.86,6,5,2025,1
2025-05-07,Smartwatch,10,5000,0,0,48512.18,7,5,2025,2
2025-05-08,Tablet,18,18000,1,0,395678.53,8,5,2025,3
2025-05-09,Smartwatch,13,5000,0,0,64249.72,9,5,2025,4
2025-05-10,Smartwatch,5,5000,0,1,25627.88,10,5,2025,5
2025-05-11,Headphones,1,3000,0,1,2134.64,11,5,2025,6
2025-05-12,Smartwatch,1,5000,1,0,6077.9,12,5,2025,0
2025-05-13,Tablet,18,18000,1,0,383318.62,13,5,2025,1
2025-05-14,Smartwatch,15,5000,0,0,67799.75,14,5,2025,2
2025-05-15,Headphones,17,3000,0,0,58972.53,15,5,2025,3
2025-05-16,Headphones,11,3000,0,0,28765.19,16,5,2025,4
2025-05-17,Tablet,17,18000,0,1,301043.04,17,5,2025,5
2025-05-18,Mobile,13,25000,1,1,379233.05,18,5,2025,6
2025-05-19,Mobile,1,25000,0,0,21805.19,19,5,2025,0
2025-05-20,Smartwatch,2,5000,0,0,3384.55,20,5,2025,1
2025-05-21,Laptop,9,55000,0,0,503210.08,21,5,2025,2
2025-05-22,Smartwatch,3,5000,0,0,20049.09,22,5,2025,3
2025-05-23,Tablet,1,18000,0,0,14559.25,23,5,2025,4
2025-05-24,Tablet,16,18000,1,1,356862.18,24,5,2025,5
2025-05-25,Tablet,6,18000,0,1,112908.83,25,5,2025,6
2025-05-26,Tablet,17,18000,0,0,304375.84,26,5,2025,0
2025-05-27,Tablet,5,18000,0,0,77502.97,27,5,2025,1
2025-05-28,Headphones,5,3000,0,0,26454.71,28,5,2025,2
2025-05-29,Mobile,6,25000,0,0,143052.14,29,5,2025,3
2025-05-30,Tablet,3,18000,0,0,45773.01,30,5,2025,4
2025-05-31,Laptop,5,55000,1,1,335112.85,31,5,2025,5
2025-06-01,Laptop,5,55000,0,1,287198.76,1,6,2025,6
2025-06-02,Laptop,10,55000,0,0,556921.36,2,6,2025,0
2025-06-03,Laptop,10,55000,0,0,552819.55,3,6,2025,1
2025-06-04,Headphones,19,3000,0,0,59973.77,4,6,2025,2
2025-06-05,Laptop,17,55000,1,0,1126267.08,5,6,2025,3
2025-06-06,Tablet,14,18000,1,0,306194.64,6,6,2025,4
2025-06-07,Smartwatch,9,5000,0,1,46405.96,7,6,2025,5
2025-06-08,Laptop,14,55000,0,1,770521.01,8,6,2025,6
2025-06-09,Headphones,1,3000,0,0,2687.03,9,6,2025,0
2025-06-10,Headphones,19,3000,0,0,53230.18,10,6,2025,1
2025-06-11,Laptop,13,55000,0,0,713596.62,11,6,2025,2
2025-06-12,Smartwatch,13,5000,0,0,56535.22,12,6,2025,3
2025-06-13,Laptop,4,55000,0,0,219508.3,13,6,2025,4
2025-06-14,Headphones,1,3000,0,1,0.0,14,6,2025,5
2025-06-15,Mobile,17,25000,1,1,504482.05,15,6,2025,6
2025-06-16,Tablet,8,18000,0,0,144899.47,16,6,2025,0
2025-06-17,Headphones,2,3000,0,0,12960.01,17,6,2025,1
2025-06-18,Laptop,8,55000,1,0,532591.58,18,6,2025,2
2025-06-19,Tablet,7,18000,0,0,118147.5,19,6,2025,3
2025-06-20,Laptop,2,55000,0,0,105051.86,20,6,2025,4
2025-06-21,Laptop,3,55000,0,1,169703.86,21,6,2025,5
2025-06-22,Mobile,18,25000,0,1,445087.56,22,6,2025,6
2025-06-23,Tablet,12,18000,1,0,258076.83,23,6,2025,0
2025-06-24,Tablet,1,18000,1,0,24350.26,24,6,2025,1
2025-06-25,Mobile,12,25000,0,0,295158.28,25,6,2025,2
2025-06-26,Headphones,5,3000,0,0,15526.88,26,6,2025,3
2025-06-27,Laptop,17,55000,0,0,928329.87,27,6,2025,4
2025-06-28,Smartwatch,16,5000,0,1,76993.16,28,6,2025,5
2025-06-29,Laptop,15,55000,0,1,826598.91,29,6,2025,6
2025-06-30,Laptop,15,55000,1,0,982035.03,30,6,2025,0
2025-07-01,Headphones,5,3000,0,0,17202.37,1,7,2025,1
2025-07-02,Laptop,14,55000,1,0,923901.81,2,7,2025,2
2025-07-03,Mobile,2,25000,0,0,52762.45,3,7,2025,3
2025-07-04,Mobile,11,25000,0,0,276119.57,4,7,2025,4
2025-07-05,Tablet,19,18000,0,1,348820.7,5,7,2025,5
2025-07-06,Smartwatch,7,5000,1,1,42626.12,6,7,2025,6
2025-07-07,Laptop,6,55000,1,0,393852.97,7,7,2025,0
2025-07-08,Laptop,2,55000,1,0,132611.49,8,7,2025,1
2025-07-09,Headphones,6,3000,0,0,20716.49,9,7,2025,2
2025-07-10,Mobile,18,25000,0,0,450244.3,10,7,2025,3
2025-07-11,Smartwatch,2,5000,1,0,12202.96,11,7,2025,4
2025-07-12,Tablet,18,18000,0,1,320490.04,12,7,2025,5
2025-07-13,Mobile,15,25000,0,1,371685.5,13,7,2025,6
2025-07-14,Tablet,19,18000,0,0,334986.97,14,7,2025,0
2025-07-15,Headphones,2,3000,1,0,15947.88,15,7,2025,1
2025-07-16,Headphones,6,3000,1,0,15380.68,16,7,2025,2
2025-07-17,Laptop,1,55000,0,0,51535.47,17,7,2025,3
2025-07-18,Smartwatch,15,5000,1,0,86407.96,18,7,2025,4
2025-07-19,Tablet,10,18000,1,1,220474.62,19,7,2025,5
2025-07-20,Mobile,19,25000,0,1,473525.25,20,7,2025,6
2025-07-21,Headphones,17,3000,0,0,57238.71,21,7,2025,0
2025-07-22,Laptop,5,55000,1,0,326632.55,22,7,2025,1
2025-07-23,Laptop,4,55000,0,0,221394.97,23,7,2025,2
2025-07-24,Tablet,10,18000,0,0,175823.26,24,7,2025,3
2025-07-25,Headphones,17,3000,0,0,61725.75,25,7,2025,4
2025-07-26,Smartwatch,10,5000,1,1,54062.01,26,7,2025,5
2025-07-27,Headphones,17,3000,1,1,62749.1,27,7,2025,6
2025-07-28,Tablet,5,18000,1,0,111168.88,28,7,2025,0
2025-07-29,Tablet,2,18000,0,0,38069.0,29,7,2025,1
2025-07-30,Headphones,6,3000,1,0,20673.56,30,7,2025,2
2025-07-31,Tablet,2,18000,1,0,42550.9,31,7,2025,3
2025-08-01,Headphones,13,3000,0,0,39219.06,1,8,2025,4
2025-08-02,Mobile,11,25000,1,1,329264.99,2,8,2025,5
2025-08-03,Headphones,11,3000,0,1,37819.4,3,8,2025,6
2025-08-04,Headphones,16,3000,0,0,59052.62,4,8,2025,0
2025-08-05,Tablet,11,18000,0,0,195212.54,5,8,2025,1
2025-08-06,Tablet,19,18000,0,0,335150.99,6,8,2025,2
2025-08-07,Laptop,15,55000,0,0,824558.59,7,8,2025,3
2025-08-08,Laptop,16,55000,0,0,892898.55,8,8,2025,4
2025-08-09,Mobile,11,25000,0,1,270981.63,9,8,2025,5
2025-08-10,Laptop,16,55000,1,1,1064195.58,10,8,2025,6
2025-08-11,Headphones,8,3000,0,0,32388.5,11,8,2025,0
2025-08-12,Tablet,4,18000,0,0,69232.06,12,8,2025,1
2025-08-13,Laptop,8,55000,0,0,442844.92,13,8,2025,2
2025-08-14,Laptop,4,55000,1,0,272141.98,14,8,2025,3
2025-08-15,Mobile,3,25000,0,0,73104.36,15,8,2025,4
2025-08-16,Mobile,3,25000,0,1,73982.1,16,8,2025,5
2025-08-17,Headphones,18,3000,1,1,61891.6,17,8,2025,6
2025-08-18,Tablet,19,18000,0,0,336926.22,18,8,2025,0
2025-08-19,Mobile,19,25000,0,0,471753.61,19,8,2025,1
2025-08-20,Laptop,5,55000,0,0,268880.3,20,8,2025,2
2025-08-21,Tablet,18,18000,1,0,388970.42,21,8,2025,3
2025-08-22,Tablet,10,18000,0,0,176150.13,22,8,2025,4
2025-08-23,Laptop,6,55000,1,1,397168.93,23,8,2025,5
2025-08-24,Mobile,1,25000,0,1,17220.52,24,8,2025,6
2025-08-25,Laptop,5,55000,1,0,331654.4,25,8,2025,0
2025-08-26,Tablet,9,18000,1,0,198567.64,26,8,2025,1
2025-08-27,Smartwatch,12,5000,1,0,62031.32,27,8,2025,2
2025-08-28,Smartwatch,14,5000,0,0,71870.28,28,8,2025,3
2025-08-29,Headphones,2,3000,1,0,13338.34,29,8,2025,4
2025-08-30,Laptop,17,55000,0,1,928951.79,30,8,2025,5
2025-08-31,Laptop,14,55000,0,1,778362.86,31,8,2025,6
2025-09-01,Headphones,13,3000,0,0,41095.1,1,9,2025,0
2025-09-02,Headphones,9,3000,1,0,28874.94,2,9,2025,1
2025-09-03,Headphones,15,3000,1,0,53721.15,3,9,2025,2
2025-09-04,Tablet,15,18000,1,0,326791.63,4,9,2025,3
2025-09-05,Laptop,11,55000,0,0,605380.03,5,9,2025,4
2025-09-06,Tablet,16,18000,0,1,290693.78,6,9,2025,5
2025-09-07,Headphones,17,3000,1,1,56596.63,7,9,2025,6
2025-09-08,Laptop,4,55000,0,0,220846.8,8,9,2025,0
2025-09-09,Tablet,1,18000,0,0,10931.43,9,9,2025,1
2025-09-10,Tablet,8,18000,0,0,143443.87,10,9,2025,2
2025-09-11,Headphones,17,3000,0,0,46480.46,11,9,2025,3
2025-09-12,Laptop,3,55000,0,0,161322.35,12,9,2025,4
2025-09-13,Headphones,15,3000,0,1,51180.47,13,9,2025,5
2025-09-14,Laptop,15,55000,0,1,830456.55,14,9,2025,6
2025-09-15,Smartwatch,14,5000,0,0,73045.69,15,9,2025,0
2025-09-16,Mobile,14,25000,1,0,414538.44,16,9,2025,1
2025-09-17,Mobile,2,25000,0,0,48417.96,17,9,2025,2
2025-09-18,Mobile,13,25000,0,0,331065.49,18,9,2025,3
2025-09-19,Headphones,14,3000,0,0,42708.58,19,9,2025,4
2025-09-20,Smartwatch,19,5000,0,1,106596.65,20,9,2025,5
2025-09-21,Laptop,7,55000,1,1,463966.59,21,9,2025,6
2025-09-22,Tablet,3,18000,1,0,65760.25,22,9,2025,0
2025-09-23,Laptop,15,55000,0,0,823454.42,23,9,2025,1
2025-09-24,Tablet,14,18000,0,0,252667.7,24,9,2025,2
2025-09-25,Laptop,11,55000,1,0,725237.65,25,9,2025,3
2025-09-26,Smartwatch,15,5000,1,0,93540.54,26,9,2025,4
2025-09-27,Tablet,13,18000,0,1,238783.51,27,9,2025,5
2025-09-28,Headphones,18,3000,0,1,50070.05,28,9,2025,6
2025-09-29,Laptop,6,55000,0,0,323343.84,29,9,2025,0
2025-09-30,Laptop,3,55000,1,0,188818.97,30,9,2025,1
2025-10-01,Tablet,19,18000,0,0,344539.96,1,10,2025,2
2025-10-02,Headphones,15,3000,1,0,48483.17,2,10,2025,3
2025-10-03,Headphones,5,3000,0,0,4235.55,3,10,2025,4
2025-10-04,Smartwatch,10,5000,0,1,51942.89,4,10,2025,5
2025-10-05,Headphones,7,3000,0,1,33465.0,5,10,2025,6
2025-10-06,Headphones,17,3000,0,0,50969.65,6,10,2025,0
2025-10-07,Headphones,7,3000,0,0,25192.45,7,10,2025,1
2025-10-08,Mobile,12,25000,0,0,300409.15,8,10,2025,2
2025-10-09,Smartwatch,17,5000,0,0,84505.55,9,10,2025,3
2025-10-10,Laptop,13,55000,1,0,862595.38,10,10,2025,4
2025-10-11,Tablet,4,18000,0,1,70548.63,11,10,2025,5
2025-10-12,Laptop,10,55000,0,1,551336.96,12,10,2025,6
2025-10-13,Smartwatch,3,5000,1,0,19608.49,13,10,2025,0
2025-10-14,Tablet,9,18000,1,0,191059.55,14,10,2025,1
2025-10-15,Smartwatch,13,5000,1,0,82960.21,15,10,2025,2
2025-10-16,Headphones,18,3000,1,0,63925.2,16,10,2025,3
2025-10-17,Tablet,15,18000,0,0,266221.27,17,10,2025,4
2025-10-18,Headphones,4,3000,0,1,14682.55,18,10,2025,5
2025-10-19,Laptop,15,55000,1,1,985507.66,19,10,2025,6
2025-10-20,Laptop,2,55000,0,0,110140.91,20,10,2025,0
2025-10-21,Tablet,15,18000,0,0,269954.41,21,10,2025,1
2025-10-22,Tablet,8,18000,1,0,178229.48,22,10,2025,2
2025-10-23,Smartwatch,8,5000,0,0,42373.49,23,10,2025,3
2025-10-24,Smartwatch,17,5000,0,0,84874.87,24,10,2025,4
2025-10-25,Headphones,12,3000,0,1,40088.83,25,10,2025,5
2025-10-26,Tablet,19,18000,0,1,348951.04,26,10,2025,6
2025-10-27,Laptop,10,55000,0,0,552789.05,27,10,2025,0
2025-10-28,Smartwatch,9,5000,0,0,45051.76,28,10,2025,1
2025-10-29,Smartwatch,5,5000,1,0,23440.82,29,10,2025,2
2025-10-30,Laptop,6,55000,0,0,324674.43,30,10,2025,3
2025-10-31,Smartwatch,2,5000,0,0,8473.88,31,10,2025,4
2025-11-01,Headphones,13,3000,1,1,43752.44,1,11,2025,5
2025-11-02,Tablet,6,18000,1,1,128665.14,2,11,2025,6
2025-11-03,Laptop,5,55000,1,0,330283.25,3,11,2025,0
2025-11-04,Tablet,1,18000,1,0,24248.46,4,11,2025,1
2025-11-05,Smartwatch,6,5000,0,0,29647.51,5,11,2025,2
2025-11-06,Smartwatch,6,5000,0,0,32432.51,6,11,2025,3
2025-11-07,Laptop,16,55000,0,0,880322.37,7,11,2025,4
2025-11-08,Headphones,4,3000,0,1,2122.67,8,11,2025,5
2025-11-09,Mobile,11,25000,0,1,270303.32,9,11,2025,6
2025-11-10,Laptop,9,55000,0,0,494279.56,10,11,2025,0
2025-11-11,Mobile,3,25000,1,0,83951.53,11,11,2025,1
2025-11-12,Mobile,19,25000,0,0,477999.64,12,11,2025,2
2025-11-13,Headphones,8,3000,0,0,31653.75,13,11,2025,3
2025-11-14,Mobile,5,25000,0,0,131093.81,14,11,2025,4
2025-11-15,Mobile,4,25000,0,1,98932.79,15,11,2025,5
2025-11-16,Headphones,6,3000,0,1,25453.63,16,11,2025,6
2025-11-17,Mobile,2,25000,1,0,60743.34,17,11,2025,0
2025-11-18,Mobile,11,25000,0,0,273314.57,18,11,2025,1
2025-11-19,Mobile,4,25000,0,0,96932.99,19,11,2025,2
2025-11-20,Laptop,15,55000,0,0,823487.65,20,11,2025,3
2025-11-21,Laptop,6,55000,1,0,394059.12,21,11,2025,4
2025-11-22,Laptop,17,55000,0,1,935852.08,22,11,2025,5
2025-11-23,Headphones,6,3000,0,1,18802.87,23,11,2025,6
2025-11-24,Smartwatch,19,5000,0,0,95015.23,24,11,2025,0
2025-11-25,Mobile,2,25000,0,0,52184.69,25,11,2025,1
2025-11-26,Mobile,15,25000,1,0,455953.23,26,11,2025,2
2025-11-27,Headphones,11,3000,1,0,44347.77,27,11,2025,3
2025-11-28,Mobile,8,25000,0,0,192575.51,28,11,2025,4
2025-11-29,Laptop,19,55000,1,1,1241230.39,29,11,2025,5
2025-11-30,Smartwatch,13,5000,1,1,82671.6,30,11,2025,6
2025-12-01,Tablet,12,18000,1,0,252365.61,1,12,2025,0
2025-12-02,Mobile,5,25000,1,0,148876.17,2,12,2025,1
2025-12-03,Laptop,6,55000,0,0,324149.43,3,12,2025,2
2025-12-04,Tablet,4,18000,0,0,62990.1,4,12,2025,3
2025-12-05,Smartwatch,19,5000,0,0,97707.31,5,12,2025,4
2025-12-06,Tablet,1,18000,1,1,25395.78,6,12,2025,5
2025-12-07,Laptop,17,55000,0,1,932117.45,7,12,2025,6
2025-12-08,Tablet,12,18000,1,0,246244.79,8,12,2025,0
2025-12-09,Headphones,15,3000,1,0,51268.78,9,12,2025,1
2025-12-10,Tablet,1,18000,0,0,19959.02,10,12,2025,2
2025-12-11,Mobile,14,25000,1,0,412605.44,11,12,2025,3
2025-12-12,Mobile,6,25000,0,0,150916.8,12,12,2025,4
2025-12-13,Headphones,5,3000,0,1,14923.45,13,12,2025,5
2025-12-14,Laptop,11,55000,1,1,728896.46,14,12,2025,6
2025-12-15,Mobile,4,25000,0,0,100597.9,15,12,2025,0
2025-12-16,Smartwatch,13,5000,1,0,73134.66,16,12,2025,1
2025-12-17,Mobile,11,25000,1,0,335982.86,17,12,2025,2
2025-12-18,Mobile,3,25000,0,0,74207.35,18,12,2025,3
2025-12-19,Laptop,1,55000,0,0,54863.48,19,12,2025,4
2025-12-20,Tablet,6,18000,0,1,103333.66,20,12,2025,5
2025-12-21,Mobile,18,25000,0,1,447783.59,21,12,2025,6
2025-12-22,Headphones,10,3000,1,0,31575.99,22,12,2025,0
2025-12-23,Tablet,5,18000,0,0,89135.27,23,12,2025,1
2025-12-24,Smartwatch,10,5000,0,0,58558.54,24,12,2025,2
2025-12-25,Laptop,12,55000,0,0,653140.49,25,12,2025,3
2025-12-26,Smartwatch,2,5000,0,0,1932.19,26,12,2025,4
2025-12-27,Tablet,13,18000,1,1,288155.85,27,12,2025,5
2025-12-28,Tablet,8,18000,0,1,142953.38,28,12,2025,6
2025-12-29,Tablet,2,18000,1,0,39854.64,29,12,2025,0
2025-12-30,Smartwatch,1,5000,0,0,10199.52,30,12,2025,1
2025-12-31,Tablet,5,18000,1,0,104971.92,31,12,2025,2
2026-01-01,Smartwatch,9,5000,0,0,54130.05,1,1,2026,3
2026-01-02,Tablet,17,18000,0,0,309389.63,2,1,2026,4
2026-01-03,Headphones,9,3000,1,1,29960.44,3,1,2026,5
2026-01-04,Tablet,11,18000,0,1,208786.54,4,1,2026,6
2026-01-05,Smartwatch,15,5000,1,0,86971.43,5,1,2026,0
2026-01-06,Mobile,6,25000,0,0,153710.48,6,1,2026,1
2026-01-07,Tablet,3,18000,0,0,55496.46,7,1,2026,2
2026-01-08,Mobile,17,25000,0,0,431508.71,8,1,2026,3
2026-01-09,Headphones,5,3000,1,0,25807.56,9,1,2026,4
2026-01-10,Laptop,12,55000,0,1,660160.02,10,1,2026,5
2026-01-11,Headphones,18,3000,0,1,50232.91,11,1,2026,6
2026-01-12,Tablet,14,18000,0,0,254299.86,12,1,2026,0
2026-01-13,Mobile,11,25000,0,0,271611.42,13,1,2026,1
2026-01-14,Mobile,9,25000,0,0,235066.94,14,1,2026,2
2026-01-15,Smartwatch,2,5000,1,0,12682.68,15,1,2026,3
2026-01-16,Mobile,12,25000,1,0,358173.39,16,1,2026,4
2026-01-17,Smartwatch,3,5000,1,1,18923.4,17,1,2026,5
2026-01-18,Laptop,3,55000,1,1,191264.37,18,1,2026,6
2026-01-19,Tablet,1,18000,0,0,13141.93,19,1,2026,0
2026-01-20,Smartwatch,8,5000,1,0,54002.07,20,1,2026,1
2026-01-21,Laptop,8,55000,0,0,436715.53,21,1,2026,2
2026-01-22,Mobile,11,25000,0,0,269765.45,22,1,2026,3
2026-01-23,Mobile,9,25000,0,0,227683.26,23,1,2026,4
2026-01-24,Laptop,5,55000,0,1,280928.52,24,1,2026,5
2026-01-25,Mobile,14,25000,1,1,423594.77,25,1,2026,6
2026-01-26,Laptop,3,55000,0,0,169980.24,26,1,2026,0
2026-01-27,Smartwatch,5,5000,0,0,21216.02,27,1,2026,1
2026-01-28,Smartwatch,5,5000,0,0,17890.95,28,1,2026,2
2026-01-29,Laptop,19,55000,1,0,1261506.67,29,1,2026,3
