date,product,quantity,price,promotion,weekend,sales
2025-02-17,Smartwatch,6,5000,0,0,15757.29
2025-02-18,Mobile,19,25000,0,0,480743.83
2025-02-19,Tablet,8,18000,0,0,135301.43
2025-02-20,Tablet,16,18000,0,0,286187.8
2025-02-21,Tablet,13,18000,0,0,228401.65
2025-02-22,Tablet,1,18000,1,1,15126.59
2025-02-23,Smartwatch,17,5000,1,1,107804.13
2025-02-24,Headphones,7,3000,0,0,18661.49
2025-02-25,Laptop,13,55000,0,0,716732.52
2025-02-26,Tablet,4,18000,0,0,71765.4
2025-02-27,Mobile,4,25000,0,0,102385.2
2025-02-28,Tablet,6,18000,0,0,108384.11
2025-03-01,Mobile,19,25000,0,1,468585.04
2025-03-02,Mobile,12,25000,1,1,364981.33
2025-03-03,Tablet,7,18000,0,0,123531.22
2025-03-04,Smartwatch,10,5000,0,0,42217.09
2025-03-05,Mobile,19,25000,0,0,472859.42
2025-03-06,Mobile,7,25000,0,0,182503.8
2025-03-07,Tablet,3,18000,0,0,58251.11
2025-03-08,Mobile,13,25000,0,1,323256.74
2025-03-09,Mobile,13,25000,0,1,323253.71
2025-03-10,Tablet,18,18000,1,0,387191.82
2025-03-11,Tablet,8,18000,0,0,154383.74
2025-03-12,Laptop,9,55000,0,0,496909.68
2025-03-13,Smartwatch,7,5000,0,0,37150.21
2025-03-14,Smartwatch,1,5000,0,0,10151.42
2025-03-15,Mobile,3,25000,0,1,76193.95
2025-03-16,Smartwatch,13,5000,1,1,76704.79
2025-03-17,Mobile,17,25000,1,0,509018.25
2025-03-18,Laptop,1,55000,1,0,65641.99
2025-03-19,Tablet,6,18000,0,0,107813.89
2025-03-20,Tablet,6,18000,0,0,111638.15
2025-03-21,Tablet,12,18000,0,0,216259.73
2025-03-22,Smartwatch,13,5000,0,1,68663.2
2025-03-23,Laptop,13,55000,1,1,857596.42
2025-03-24,Smartwatch,15,5000,0,0,75393.18
2025-03-25,Smartwatch,16,5000,0,0,70009.0
2025-03-26,Laptop,11,55000,0,0,609581.64
2025-03-27,Laptop,5,55000,0,0,276732.44
2025-03-28,Laptop,4,55000,0,0,224990.05
2025-03-29,Laptop,3,55000,0,1,150518.72
2025-03-30,Tablet,19,18000,0,1,352441.87
2025-03-31,Headphones,18,3000,1,0,64102.05
2025-04-01,Headphones,15,3000,1,0,59540.91
2025-04-02,Laptop,9,55000,0,0,489800.47
2025-04-03,Headphones,17,3000,0,0,54063.87
2025-04-04,Headphones,14,3000,0,0,36732.92
2025-04-05,Laptop,15,55000,0,1,821881.16
2025-04-06,Headphones,1,3000,0,1,12570.16
2025-04-07,Smartwatch,3,5000,0,0,14046.59
2025-04-08,Mobile,16,25000,0,0,401087.16
2025-04-09,Mobile,11,25000,0,0,279350.34
2025-04-10,Laptop,12,55000,0,0,662478.41
2025-04-11,Tablet,10,18000,0,0,180752.09
2025-04-12,Laptop,16,55000,1,1,1057824.81
2025-04-13,Tablet,8,18000,1,1,184817.08
2025-04-14,Mobile,6,25000,0,0,149711.91
2025-04-15,Laptop,12,55000,1,0,793005.5
2025-04-16,Smartwatch,8,5000,0,0,45253.27
2025-04-17,Headphones,4,3000,1,0,19927.63
2025-04-18,Tablet,8,18000,1,0,178735.15
2025-04-19,Headphones,18,3000,0,1,57193.65
2025-04-20,Headphones,5,3000,0,1,9284.98
2025-04-21,Laptop,9,55000,0,0,503167.16
2025-04-22,Headphones,4,3000,0,0,6268.27
2025-04-23,Smartwatch,17,5000,0,0,86513.18
2025-04-24,Headphones,9,3000,0,0,23228.62
2025-04-25,Laptop,1,55000,0,0,54679.31
2025-04-26,Smartwatch,13,5000,1,1,79643.81
2025-04-27,Mobile,16,25000,1,1,481606.79
2025-04-28,Headphones,13,3000,0,0,41109.6
2025-04-29,Laptop,14,55000,0,0,778068.56
2025-04-30,Mobile,3,25000,0,0,77267.67
2025-05-01,Mobile,6,25000,0,0,148779.22
2025-05-02,Tablet,18,18000,1,0,393620.44
2025-05-03,Smartwatch,19,5000,0,1,100947.35
2025-05-04,Headphones,5,3000,0,1,8861.96
2025-05-05,Laptop,15,55000,0,0,827987.0
2025-05-06,Tablet,2,18000,0,0,39505.86
2025-05-07,Smartwatch,10,5000,0,0,48512.18
2025-05-08,Tablet,18,18000,1,0,395678.53
2025-05-09,Smartwatch,13,5000,0,0,64249.72
2025-05-10,Smartwatch,5,5000,0,1,25627.88
2025-05-11,Headphones,1,3000,0,1,2134.64
2025-05-12,Smartwatch,1,5000,1,0,6077.9
2025-05-13,Tablet,18,18000,1,0,383318.62
2025-05-14,Smartwatch,15,5000,0,0,67799.75
2025-05-15,Headphones,17,3000,0,0,58972.53
2025-05-16,Headphones,11,3000,0,0,28765.19
2025-05-17,Tablet,17,18000,0,1,301043.04
2025-05-18,Mobile,13,25000,1,1,379233.05
2025-05-19,Mobile,1,25000,0,0,21805.19
2025-05-20,Smartwatch,2,5000,0,0,3384.55
2025-05-21,Laptop,9,55000,0,0,503210.08
2025-05-22,Smartwatch,3,5000,0,0,20049.09
2025-05-23,Tablet,1,18000,0,0,14559.25
2025-05-24,Tablet,16,18000,1,1,356862.18
2025-05-25,Tablet,6,18000,0,1,112908.83
2025-05-26,Tablet,17,18000,0,0,304375.84
2025-05-27,Tablet,5,18000,0,0,77502.97
2025-05-28,Headphones,5,3000,0,0,26454.71
2025-05-29,Mobile,6,25000,0,0,143052.14
2025-05-30,Tablet,3,18000,0,0,45773.01
2025-05-31,Laptop,5,55000,1,1,335112.85
2025-06-01,Laptop,5,55000,0,1,287198.76
2025-06-02,Laptop,10,55000,0,0,556921.36
2025-06-03,Laptop,10,55000,0,0,552819.55
2025-06-04,Headphones,19,3000,0,0,59973.77
2025-06-05,Laptop,17,55000,1,0,1126267.08
2025-06-06,Tablet,14,18000,1,0,306194.64
2025-06-07,Smartwatch,9,5000,0,1,46405.96
2025-06-08,Laptop,14,55000,0,1,770521.01
2025-06-09,Headphones,1,3000,0,0,2687.03
2025-06-10,Headphones,19,3000,0,0,53230.18
2025-06-11,Laptop,13,55000,0,0,713596.62
2025-06-12,Smartwatch,13,5000,0,0,56535.22
2025-06-13,Laptop,4,55000,0,0,219508.3
2025-06-14,Headphones,1,3000,0,1,0.0
2025-06-15,Mobile,17,25000,1,1,504482.05
2025-06-16,Tablet,8,18000,0,0,144899.47
2025-06-17,Headphones,2,3000,0,0,12960.01
2025-06-18,Laptop,8,55000,1,0,532591.58
2025-06-19,Tablet,7,18000,0,0,118147.5
2025-06-20,Laptop,2,55000,0,0,105051.86
2025-06-21,Laptop,3,55000,0,1,169703.86
2025-06-22,Mobile,18,25000,0,1,445087.56
2025-06-23,Tablet,12,18000,1,0,258076.83
2025-06-24,Tablet,1,18000,1,0,24350.26
2025-06-25,Mobile,12,25000,0,0,295158.28
2025-06-26,Headphones,5,3000,0,0,15526.88
2025-06-27,Laptop,17,55000,0,0,928329.87
2025-06-28,Smartwatch,16,5000,0,1,76993.16
2025-06-29,Laptop,15,55000,0,1,826598.91
2025-06-30,Laptop,15,55000,1,0,982035.03
2025-07-01,Headphones,5,3000,0,0,17202.37
2025-07-02,Laptop,14,55000,1,0,923901.81
2025-07-03,Mobile,2,25000,0,0,52762.45
2025-07-04,Mobile,11,25000,0,0,276119.57
2025-07-05,Tablet,19,18000,0,1,348820.7
2025-07-06,Smartwatch,7,5000,1,1,42626.12
2025-07-07,Laptop,6,55000,1,0,393852.97
2025-07-08,Laptop,2,55000,1,0,132611.49
2025-07-09,Headphones,6,3000,0,0,20716.49
2025-07-10,Mobile,18,25000,0,0,450244.3
2025-07-11,Smartwatch,2,5000,1,0,12202.96
2025-07-12,Tablet,18,18000,0,1,320490.04
2025-07-13,Mobile,15,25000,0,1,371685.5
2025-07-14,Tablet,19,18000,0,0,334986.97
2025-07-15,Headphones,2,3000,1,0,15947.88
2025-07-16,Headphones,6,3000,1,0,15380.68
2025-07-17,Laptop,1,55000,0,0,51535.47
2025-07-18,Smartwatch,15,5000,1,0,86407.96
2025-07-19,Tablet,10,18000,1,1,220474.62
2025-07-20,Mobile,19,25000,0,1,473525.25
2025-07-21,Headphones,17,3000,0,0,57238.71
2025-07-22,Laptop,5,55000,1,0,326632.55
2025-07-23,Laptop,4,55000,0,0,221394.97
2025-07-24,Tablet,10,18000,0,0,175823.26
2025-07-25,Headphones,17,3000,0,0,61725.75
2025-07-26,Smartwatch,10,5000,1,1,54062.01
2025-07-27,Headphones,17,3000,1,1,62749.1
2025-07-28,Tablet,5,18000,1,0,111168.88
2025-07-29,Tablet,2,18000,0,0,38069.0
2025-07-30,Headphones,6,3000,1,0,20673.56
2025-07-31,Tablet,2,18000,1,0,42550.9
2025-08-01,Headphones,13,3000,0,0,39219.06
2025-08-02,Mobile,11,25000,1,1,329264.99
2025-08-03,Headphones,11,3000,0,1,37819.4
2025-08-04,Headphones,16,3000,0,0,59052.62
2025-08-05,Tablet,11,18000,0,0,195212.54
2025-08-06,Tablet,19,18000,0,0,335150.99
2025-08-07,Laptop,15,55000,0,0,824558.59
2025-08-08,Laptop,16,55000,0,0,892898.55
2025-08-09,Mobile,11,25000,0,1,270981.63
2025-08-10,Laptop,16,55000,1,1,1064195.58
2025-08-11,Headphones,8,3000,0,0,32388.5
2025-08-12,Tablet,4,18000,0,0,69232.06
2025-08-13,Laptop,8,55000,0,0,442844.92
2025-08-14,Laptop,4,55000,1,0,272141.98
2025-08-15,Mobile,3,25000,0,0,73104.36
2025-08-16,Mobile,3,25000,0,1,73982.1
2025-08-17,Headphones,18,3000,1,1,61891.6
2025-08-18,Tablet,19,18000,0,0,336926.22
2025-08-19,Mobile,19,25000,0,0,471753.61
2025-08-20,Laptop,5,55000,0,0,268880.3
2025-08-21,Tablet,18,18000,1,0,388970.42
2025-08-22,Tablet,10,18000,0,0,176150.13
2025-08-23,Laptop,6,55000,1,1,397168.93
2025-08-24,Mobile,1,25000,0,1,17220.52
2025-08-25,Laptop,5,55000,1,0,331654.4
2025-08-26,Tablet,9,18000,1,0,198567.64
2025-08-27,Smartwatch,12,5000,1,0,62031.32
2025-08-28,Smartwatch,14,5000,0,0,71870.28
2025-08-29,Headphones,2,3000,1,0,13338.34
2025-08-30,Laptop,17,55000,0,1,928951.79
2025-08-31,Laptop,14,55000,0,1,778362.86
2025-09-01,Headphones,13,3000,0,0,41095.1
2025-09-02,Headphones,9,3000,1,0,28874.94
2025-09-03,Headphones,15,3000,1,0,53721.15
2025-09-04,Tablet,15,18000,1,0,326791.63
2025-09-05,Laptop,11,55000,0,0,605380.03
2025-09-06,Tablet,16,18000,0,1,290693.78
2025-09-07,Headphones,17,3000,1,1,56596.63
2025-09-08,Laptop,4,55000,0,0,220846.8
2025-09-09,Tablet,1,18000,0,0,10931.43
2025-09-10,Tablet,8,18000,0,0,143443.87
2025-09-11,Headphones,17,3000,0,0,46480.46
2025-09-12,Laptop,3,55000,0,0,161322.35
2025-09-13,Headphones,15,3000,0,1,51180.47
2025-09-14,Laptop,15,55000,0,1,830456.55
2025-09-15,Smartwatch,14,5000,0,0,73045.69
2025-09-16,Mobile,14,25000,1,0,414538.44
2025-09-17,Mobile,2,25000,0,0,48417.96
2025-09-18,Mobile,13,25000,0,0,331065.49
2025-09-19,Headphones,14,3000,0,0,42708.58
2025-09-20,Smartwatch,19,5000,0,1,106596.65
2025-09-21,Laptop,7,55000,1,1,463966.59
2025-09-22,Tablet,3,18000,1,0,65760.25
2025-09-23,Laptop,15,55000,0,0,823454.42
2025-09-24,Tablet,14,18000,0,0,252667.7
2025-09-25,Laptop,11,55000,1,0,725237.65
2025-09-26,Smartwatch,15,5000,1,0,93540.54
2025-09-27,Tablet,13,18000,0,1,238783.51
2025-09-28,Headphones,18,3000,0,1,50070.05
2025-09-29,Laptop,6,55000,0,0,323343.84
2025-09-30,Laptop,3,55000,1,0,188818.97
2025-10-01,Tablet,19,18000,0,0,344539.96
2025-10-02,Headphones,15,3000,1,0,48483.17
2025-10-03,Headphones,5,3000,0,0,4235.55
2025-10-04,Smartwatch,10,5000,0,1,51942.89
2025-10-05,Headphones,7,3000,0,1,33465.0
2025-10-06,Headphones,17,3000,0,0,50969.65
2025-10-07,Headphones,7,3000,0,0,25192.45
2025-10-08,Mobile,12,25000,0,0,300409.15
2025-10-09,Smartwatch,17,5000,0,0,84505.55
2025-10-10,Laptop,13,55000,1,0,862595.38
2025-10-11,Tablet,4,18000,0,1,70548.63
2025-10-12,Laptop,10,55000,0,1,551336.96
2025-10-13,Smartwatch,3,5000,1,0,19608.49
2025-10-14,Tablet,9,18000,1,0,191059.55
2025-10-15,Smartwatch,13,5000,1,0,82960.21
2025-10-16,Headphones,18,3000,1,0,63925.2
2025-10-17,Tablet,15,18000,0,0,266221.27
2025-10-18,Headphones,4,3000,0,1,14682.55
2025-10-19,Laptop,15,55000,1,1,985507.66
2025-10-20,Laptop,2,55000,0,0,110140.91
2025-10-21,Tablet,15,18000,0,0,269954.41
2025-10-22,Tablet,8,18000,1,0,178229.48
2025-10-23,Smartwatch,8,5000,0,0,42373.49
2025-10-24,Smartwatch,17,5000,0,0,84874.87
2025-10-25,Headphones,12,3000,0,1,40088.83
2025-10-26,Tablet,19,18000,0,1,348951.04
2025-10-27,Laptop,10,55000,0,0,552789.05
2025-10-28,Smartwatch,9,5000,0,0,45051.76
2025-10-29,Smartwatch,5,5000,1,0,23440.82
2025-10-30,Laptop,6,55000,0,0,324674.43
2025-10-31,Smartwatch,2,5000,0,0,8473.88
2025-11-01,Headphones,13,3000,1,1,43752.44
2025-11-02,Tablet,6,18000,1,1,128665.14
2025-11-03,Laptop,5,55000,1,0,330283.25
2025-11-04,Tablet,1,18000,1,0,24248.46
2025-11-05,Smartwatch,6,5000,0,0,29647.51
2025-11-06,Smartwatch,6,5000,0,0,32432.51
2025-11-07,Laptop,16,55000,0,0,880322.37
2025-11-08,Headphones,4,3000,0,1,2122.67
2025-11-09,Mobile,11,25000,0,1,270303.32
2025-11-10,Laptop,9,55000,0,0,494279.56
2025-11-11,Mobile,3,25000,1,0,83951.53
2025-11-12,Mobile,19,25000,0,0,477999.64
2025-11-13,Headphones,8,3000,0,0,31653.75
2025-11-14,Mobile,5,25000,0,0,131093.81
2025-11-15,Mobile,4,25000,0,1,98932.79
2025-11-16,Headphones,6,3000,0,1,25453.63
2025-11-17,Mobile,2,25000,1,0,60743.34
2025-11-18,Mobile,11,25000,0,0,273314.57
2025-11-19,Mobile,4,25000,0,0,96932.99
2025-11-20,Laptop,15,55000,0,0,823487.65
2025-11-21,Laptop,6,55000,1,0,394059.12
2025-11-22,Laptop,17,55000,0,1,935852.08
2025-11-23,Headphones,6,3000,0,1,18802.87
2025-11-24,Smartwatch,19,5000,0,0,95015.23
2025-11-25,Mobile,2,25000,0,0,52184.69
2025-11-26,Mobile,15,25000,1,0,455953.23
2025-11-27,Headphones,11,3000,1,0,44347.77
2025-11-28,Mobile,8,25000,0,0,192575.51
2025-11-29,Laptop,19,55000,1,1,1241230.39
2025-11-30,Smartwatch,13,5000,1,1,82671.6
2025-12-01,Tablet,12,18000,1,0,252365.61
2025-12-02,Mobile,5,25000,1,0,148876.17
2025-12-03,Laptop,6,55000,0,0,324149.43
2025-12-04,Tablet,4,18000,0,0,62990.1
2025-12-05,Smartwatch,19,5000,0,0,97707.31
2025-12-06,Tablet,1,18000,1,1,25395.78
2025-12-07,Laptop,17,55000,0,1,932117.45
2025-12-08,Tablet,12,18000,1,0,246244.79
2025-12-09,Headphones,15,3000,1,0,51268.78
2025-12-10,Tablet,1,18000,0,0,19959.02
2025-12-11,Mobile,14,25000,1,0,412605.44
2025-12-12,Mobile,6,25000,0,0,150916.8
2025-12-13,Headphones,5,3000,0,1,14923.45
2025-12-14,Laptop,11,55000,1,1,728896.46
2025-12-15,Mobile,4,25000,0,0,100597.9
2025-12-16,Smartwatch,13,5000,1,0,73134.66
2025-12-17,Mobile,11,25000,1,0,335982.86
2025-12-18,Mobile,3,25000,0,0,74207.35
2025-12-19,Laptop,1,55000,0,0,54863.48
2025-12-20,Tablet,6,18000,0,1,103333.66
2025-12-21,Mobile,18,25000,0,1,447783.59
2025-12-22,Headphones,10,3000,1,0,31575.99
2025-12-23,Tablet,5,18000,0,0,89135.27
2025-12-24,Smartwatch,10,5000,0,0,58558.54
2025-12-25,Laptop,12,55000,0,0,653140.49
2025-12-26,Smartwatch,2,5000,0,0,1932.19
2025-12-27,Tablet,13,18000,1,1,288155.85
2025-12-28,Tablet,8,18000,0,1,142953.38
2025-12-29,Tablet,2,18000,1,0,39854.64
2025-12-30,Smartwatch,1,5000,0,0,10199.52
2025-12-31,Tablet,5,18000,1,0,104971.92
2026-01-01,Smartwatch,9,5000,0,0,54130.05
2026-01-02,Tablet,17,18000,0,0,309389.63
2026-01-03,Headphones,9,3000,1,1,29960.44
2026-01-04,Tablet,11,18000,0,1,208786.54
2026-01-05,Smartwatch,15,5000,1,0,86971.43
2026-01-06,Mobile,6,25000,0,0,153710.48
2026-01-07,Tablet,3,18000,0,0,55496.46
2026-01-08,Mobile,17,25000,0,0,431508.71
2026-01-09,Headphones,5,3000,1,0,25807.56
2026-01-10,Laptop,12,55000,0,1,660160.02
2026-01-11,Headphones,18,3000,0,1,50232.91
2026-01-12,Tablet,14,18000,0,0,254299.86
2026-01-13,Mobile,11,25000,0,0,271611.42
2026-01-14,Mobile,9,25000,0,0,235066.94
2026-01-15,Smartwatch,2,5000,1,0,12682.68
2026-01-16,Mobile,12,25000,1,0,358173.39
2026-01-17,Smartwatch,3,5000,1,1,18923.4
2026-01-18,Laptop,3,55000,1,1,191264.37
2026-01-19,Tablet,1,18000,0,0,13141.93
2026-01-20,Smartwatch,8,5000,1,0,54002.07
2026-01-21,Laptop,8,55000,0,0,436715.53
2026-01-22,Mobile,11,25000,0,0,269765.45
2026-01-23,Mobile,9,25000,0,0,227683.26
2026-01-24,Laptop,5,55000,0,1,280928.52
2026-01-25,Mobile,14,25000,1,1,423594.77
2026-01-26,Laptop,3,55000,0,0,169980.24
2026-01-27,Smartwatch,5,5000,0,0,21216.02
2026-01-28,Smartwatch,5,5000,0,0,17890.95
2026-01-29,Laptop,19,55000,1,0,1261506.67
2026-01-30,Smartwatch,14,5000,0,0,68386.6
2026-01-31,Smartwatch,4,5000,0,1,18745.83
2026-02-01,Smartwatch,13,5000,0,1,71640.97
2026-02-02,Headphones,10,3000,1,0,38781.15
2026-02-03,Tablet,18,18000,0,0,326279.44
2026-02-04,Mobile,8,25000,0,0,210825.01
2026-02-05,Headphones,8,3000,0,0,20782.41
2026-02-06,Smartwatch,7,5000,0,0,39639.2
2026-02-07,Laptop,8,55000,0,1,440285.07
2026-02-08,Smartwatch,14,5000,0,1,71342.96
2026-02-09,Tablet,19,18000,1,0,418042.34
2026-02-10,Smartwatch,6,5000,0,0,32539.18
2026-02-11,Laptop,1,55000,0,0,57691.48
2026-02-12,Tablet,15,18000,1,0,329362.54
2026-02-13,Smartwatch,1,5000,0,0,3175.24
2026-02-14,Tablet,17,18000,0,1,301803.95
2026-02-15,Mobile,1,25000,0,1,19775.95
2026-02-16,Mobile,15,25000,0,0,365168.22
2026-02-17,Smartwatch,2,5000,1,0,22281.04
2026-02-18,Tablet,14,18000,0,0,246483.96
2026-02-19,Laptop,8,55000,1,0,526893.73
2026-02-20,Smartwatch,8,5000,0,0,38615.93
2026-02-21,Mobile,19,25000,0,1,476537.03
2026-02-22,Mobile,7,25000,0,1,179078.69
2026-02-23,Smartwatch,19,5000,0,0,99302.37
2026-02-24,Tablet,6,18000,0,0,105084.61
2026-02-25,Mobile,6,25000,1,0,179164.39
2026-02-26,Tablet,3,18000,0,0,55412.9
2026-02-27,Mobile,7,25000,1,0,208756.54
2026-02-28,Mobile,19,25000,0,1,483036.73
2026-03-01,Headphones,8,3000,1,1,31254.87
2026-03-02,Mobile,10,25000,1,0,303674.39
2026-03-03,Laptop,15,55000,1,0,993314.41
2026-03-04,Smartwatch,15,5000,1,0,95867.37
2026-03-05,Smartwatch,1,5000,1,0,6905.11
2026-03-06,Tablet,7,18000,0,0,119515.84
2026-03-07,Mobile,4,25000,0,1,101998.44
2026-03-08,Laptop,6,55000,0,1,326743.22
2026-03-09,Tablet,1,18000,1,0,18956.92
2026-03-10,Headphones,5,3000,0,0,17931.82
2026-03-11,Tablet,1,18000,1,0,27791.42
2026-03-12,Tablet,4,18000,0,0,72106.36
2026-03-13,Mobile,2,25000,0,0,51544.17
2026-03-14,Headphones,10,3000,0,1,38511.07
2026-03-15,Tablet,5,18000,0,1,91203.77
2026-03-16,Laptop,10,55000,0,0,563008.42
2026-03-17,Laptop,1,55000,0,0,57827.55
2026-03-18,Smartwatch,6,5000,0,0,21196.19
2026-03-19,Headphones,13,3000,0,0,42766.71
2026-03-20,Headphones,15,3000,0,0,46905.79
2026-03-21,Smartwatch,4,5000,0,1,26448.76
2026-03-22,Tablet,13,18000,1,1,284165.91
2026-03-23,Headphones,15,3000,0,0,44307.72
2026-03-24,Laptop,8,55000,0,0,433878.51
2026-03-25,Laptop,5,55000,0,0,273954.88
2026-03-26,Mobile,15,25000,0,0,370747.4
2026-03-27,Headphones,4,3000,0,0,9097.38
2026-03-28,Tablet,12,18000,0,1,218942.89
2026-03-29,Smartwatch,13,5000,0,1,73349.52
2026-03-30,Smartwatch,2,5000,0,0,11973.36
2026-03-31,Tablet,19,18000,0,0,336020.58
2026-04-01,Mobile,19,25000,1,0,572223.01
2026-04-02,Smartwatch,4,5000,1,0,29983.16
2026-04-03,Headphones,4,3000,0,0,8951.09
2026-04-04,Mobile,11,25000,0,1,274329.91
2026-04-05,Headphones,5,3000,0,1,15073.44
2026-04-06,Laptop,11,55000,0,0,601075.51
2026-04-07,Mobile,10,25000,1,0,303241.4
2026-04-08,Smartwatch,8,5000,0,0,39395.26
2026-04-09,Mobile,6,25000,0,0,152097.66
2026-04-10,Mobile,6,25000,0,0,145562.54
2026-04-11,Mobile,8,25000,1,1,237812.71
2026-04-12,Mobile,15,25000,0,1,378611.91
2026-04-13,Headphones,14,3000,0,0,40135.83
2026-04-14,Laptop,11,55000,0,0,613634.82
2026-04-15,Tablet,12,18000,0,0,214001.82
2026-04-16,Mobile,13,25000,0,0,326123.42
2026-04-17,Smartwatch,8,5000,0,0,44662.95
2026-04-18,Mobile,18,25000,0,1,442908.17
2026-04-19,Smartwatch,1,5000,0,1,0.0
2026-04-20,Headphones,15,3000,0,0,37371.72
2026-04-21,Smartwatch,8,5000,0,0,46312.92
2026-04-22,Tablet,11,18000,0,0,195240.71
2026-04-23,Laptop,12,55000,0,0,672791.0
2026-04-24,Smartwatch,12,5000,1,0,69178.76
2026-04-25,Smartwatch,4,5000,0,1,20922.76
2026-04-26,Laptop,16,55000,0,1,887710.55
2026-04-27,Tablet,4,18000,0,0,82030.46
2026-04-28,Mobile,5,25000,0,0,135307.52
2026-04-29,Smartwatch,5,5000,1,0,36041.83
2026-04-30,Laptop,8,55000,0,0,445120.31
2026-05-01,Headphones,10,3000,1,0,38962.63
2026-05-02,Laptop,17,55000,0,1,938891.81
2026-05-03,Headphones,9,3000,0,1,24244.07
2026-05-04,Tablet,19,18000,1,0,406309.01
2026-05-05,Mobile,14,25000,1,0,419983.13
2026-05-06,Laptop,8,55000,1,0,527149.08
2026-05-07,Smartwatch,9,5000,1,0,51733.86
2026-05-08,Tablet,11,18000,0,0,201481.94
2026-05-09,Laptop,1,55000,1,1,70776.53
2026-05-10,Smartwatch,14,5000,0,1,70442.03
2026-05-11,Laptop,5,55000,1,0,337387.65
2026-05-12,Headphones,14,3000,0,0,36291.55
2026-05-13,Laptop,4,55000,1,0,263031.7
2026-05-14,Laptop,1,55000,0,0,51415.89
2026-05-15,Laptop,19,55000,0,0,1035667.32
